ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
294,Point,4533,4532,FLCB,29.843,-84.695,-21.076,1
295,Point,8116,8115,KKES,29.85,-95.595,9.628,1
296,Point,8499,8498,LABL,29.855,-89.987,-17.703,1
297,Point,14663,14662,SBCH,29.868,-89.673,-16.225,1
298,Point,4260,4259,ENG5,29.879,-89.942,-18.344,1
299,Point,4261,4260,ENG6,29.879,-89.942,-18.331,1
300,Point,2396,2395,CFJV,29.882,-95.556,8.703,1
301,Point,6043,6042,HVHS,29.89,-90.405,-19.526,1
302,Point,17021,17020,TXTG,29.898,-95.297,-3.638,1
303,Point,9229,9228,LWES,29.9,-90.349,-17.051,1
304,Point,8925,8924,LKHU,29.913,-95.146,-8.504,1
305,Point,15666,15665,STS1,29.914,-93.945,-20.827,1
306,Point,16958,16957,TXPH,29.914,-93.945,-22.485,1
307,Point,16896,16895,TXLG,29.917,-96.848,71.327,1
308,Point,2395,2394,CFHS,29.919,-95.632,15.715,1
309,Point,8239,8238,KPCD,29.926,-95.924,30.714,1
310,Point,8240,8239,KPCS,29.926,-95.924,30.597,1
311,Point,8594,8593,LANP,29.934,-91.016,-10.501,1
312,Point,11321,11320,NOLA,29.934,-90.12,-1.525,1
313,Point,6607,6606,INRI,29.937,-90.119,-10.545,1
314,Point,16967,16966,TXPT,29.947,-93.953,-22.964,1
315,Point,18661,18660,ZHU1,29.962,-95.331,10.864,1
316,Point,4526,4525,FLBF,29.962,-82.91,-14.747,1
317,Point,3967,3966,DSTR,29.965,-90.382,-19.984,1
318,Point,8578,8577,LAMY,29.972,-90.204,-23.201,1
319,Point,1410,1409,BFMN,29.977,-90.245,-19.982,1
320,Point,8489,8488,LAAB,29.978,-92.107,-15.206,1
321,Point,8565,8564,LAM5,29.978,-90.155,-19.125,1
322,Point,14916,14915,SESG,29.987,-95.43,9.209,1
323,Point,934,933,AULT,29.998,-95.745,25.764,1
324,Point,8707,8706,LCSM,30.008,-97.125,72.752,1
325,Point,8847,8846,LHJI,30.008,-90.162,-19.06,1
326,Point,10468,10467,MRY2,30.023,-89.913,-24.279,1
327,Point,16794,16793,TXDY,30.031,-94.893,2.825,1
328,Point,17015,17014,TXSV,30.032,-97.166,76.284,1
329,Point,2863,2862,COH6,30.04,-95.185,-10.25,1
330,Point,8562,8561,LALR,30.042,-90.697,-19.34,1
331,Point,7780,7779,JGS2,30.045,-94.891,0.3,1
