date, Water Level
2017-11-24,0.8578375
2017-11-25,0.9203708
2017-11-26,0.5944458
2017-11-27,0.51964164
2017-11-28,0.9343917
2017-11-29,0.8991708
2017-11-30,0.60111666
2017-12-01,0.60914165
2017-12-02,0.7095375
2017-12-03,0.77411664
2017-12-04,0.9738708
2017-12-05,0.9914208
2017-12-06,0.67288333
2017-12-07,0.69317085
2017-12-08,0.3133875
2017-12-09,0.524375
2017-12-10,0.017345833
2017-12-11,-0.20678334
2017-12-12,-0.49120834
2017-12-13,-0.5573625
2017-12-14,-0.041366667
2017-12-15,-0.088729165
2017-12-16,0.29187918
2017-12-17,0.6307833
2017-12-18,0.4594625
2017-12-19,0.49890834
2017-12-20,0.29399583
2017-12-21,0.13252917
2017-12-22,0.56114584
2017-12-23,-0.32985833
2017-12-24,-0.12354167
2017-12-25,-0.12515417
2017-12-26,0.716375
2017-12-27,0.34495416
2017-12-28,0.21081667
2017-12-29,0.2379875
2017-12-30,0.35679168
2017-12-31,0.265
2018-01-01,-0.55979586
2018-01-02,-0.17782083
2018-01-03,-0.4346375
2018-01-04,-0.29095834
2018-01-05,-0.26457918
2018-01-06,-0.1568875
2018-01-07,0.17610416
2018-01-08,0.1749125
2018-01-09,-0.18729167
2018-01-10,0.29387918
2018-01-11,0.7025
2018-01-12,-1.170075
2018-01-13,-1.1359042
2018-01-14,-0.3861625
2018-01-15,-0.06696667
2018-01-16,-0.47855833
2018-01-17,-1.2294291
2018-01-18,-0.48427916
2018-01-19,0.12341667
2018-01-20,0.2603125
2018-01-21,0.28473333
2018-01-22,0.1826625
2018-01-23,-0.094929166
2018-01-24,-0.07917917
2018-01-25,0.15644583
2018-01-26,0.5739833
2018-01-27,0.48099166
2018-01-28,0.3249875
2018-01-29,-0.027895832
2018-01-30,-0.08437084
2018-01-31,0.38990417
2018-02-01,0.37524584
2018-02-02,-0.043841667
2018-02-03,0.491325
2018-02-04,0.90938336
2018-02-05,0.5135792
2018-02-06,0.591375
2018-02-07,0.21482083
2018-02-08,-0.1756
2018-02-09,0.4033625
2018-02-10,0.6695875
2018-02-11,0.103504166
2018-02-12,-0.4299375
2018-02-13,0.0533375
2018-02-14,0.43965834
2018-02-15,0.29419166
2018-02-16,0.318
2018-02-17,0.1141625
2018-02-18,0.17560834
2018-02-19,0.6772625
2018-02-20,1.0358791
2018-02-21,0.96402913
2018-02-22,0.31768334
2018-02-23,0.4588125
2018-02-24,0.76669997
2018-02-25,0.9755292
2018-02-26,0.4495375
2018-02-27,1.011225
2018-02-28,1.1728417
2018-03-01,1.0679291
2018-03-02,0.52671665
2018-03-03,1.3230417
2018-03-04,1.2679209
2018-03-05,1.1251416
2018-03-06,0.5975
2018-03-07,0.4047125
2018-03-08,0.27459583
2018-03-09,0.8198708
2018-03-10,0.814375
2018-03-11,0.6793375
2018-03-12,-0.114229165
2018-03-13,0.48628333
2018-03-14,0.5678625
2018-03-15,0.64030415
2018-03-16,0.72019166
2018-03-17,0.56734586
2018-03-18,0.71295
2018-03-19,0.74128336
2018-03-20,0.27006668
2018-03-21,0.29357085
2018-03-22,0.6176125
2018-03-23,0.8074375
2018-03-24,0.7902167
2018-03-25,0.65357083
2018-03-26,0.8029
2018-03-27,1.2896792
2018-03-28,1.5919666
2018-03-29,1.2756875
2018-03-30,0.96910834
2018-03-31,1.2495208
2018-04-01,1.51695
2018-04-02,1.6696541
2018-04-03,1.6439375
2018-04-04,1.0497167
2018-04-05,1.4699583
2018-04-06,1.4516208
2018-04-07,0.8089167
2018-04-08,0.028108332
2018-04-09,0.9546
2018-04-10,0.7214417
2018-04-11,0.83503336
2018-04-12,1.0797375
2018-04-13,1.4583083
2018-04-14,1.0354542
2018-04-15,0.30094585
2018-04-16,0.004095833
2018-04-17,0.6760042
2018-04-18,0.69853747
2018-04-19,0.2279125
2018-04-20,0.6331292
2018-04-21,1.2437541
2018-04-22,0.85005414
2018-04-23,0.25644583
2018-04-24,0.21172084
2018-04-25,0.22012916
2018-04-26,0.053804167
2018-04-27,0.16574584
2018-04-28,0.2948
2018-04-29,0.33609584
2018-04-30,0.7002583
2018-05-01,1.0289042
2018-05-02,1.2084666
2018-05-03,1.3950584
2018-05-04,1.1363
2018-05-05,0.6226042
2018-05-06,0.42277917
2018-05-07,0.29284585
2018-05-08,0.25811666
2018-05-09,0.35084167
2018-05-10,0.6614083
2018-05-11,0.8717
2018-05-12,1.1910042
2018-05-13,1.0882875
2018-05-14,1.0755666
2018-05-15,0.83510834
2018-05-16,0.573675
2018-05-17,0.5354125
2018-05-18,0.5406875
2018-05-19,0.88813335
2018-05-20,1.1799417
2018-05-21,0.90133333
2018-05-22,0.8169417
2018-05-23,0.9317875
2018-05-24,1.0596917
2018-05-25,0.858025
2018-05-26,0.7770875
2018-05-27,0.706275
2018-05-28,0.7175
2018-05-29,0.85443336
2018-05-30,0.9952375
2018-05-31,1.0258292
2018-06-01,0.92477083
2018-06-02,0.7951625
2018-06-03,0.44102085
2018-06-04,0.18000416
2018-06-05,0.13049167
2018-06-06,0.27385834
2018-06-07,0.5504708
2018-06-08,0.7044375
2018-06-09,0.66215
2018-06-10,0.663175
2018-06-11,0.76240414
2018-06-12,0.70482916
2018-06-13,0.5746875
2018-06-14,0.48005834
2018-06-15,0.6812625
2018-06-16,0.95222914
2018-06-17,1.017
2018-06-18,1.3183875
2018-06-19,1.6530833
2018-06-20,1.678675
2018-06-21,1.1983125
2018-06-22,0.8014333
2018-06-23,0.69995
2018-06-24,0.82125413
2018-06-25,0.9149625
2018-06-26,0.73639584
2018-06-27,0.5713083
2018-06-28,0.62203336
2018-06-29,0.6547125
2018-06-30,0.6475458
2018-07-01,0.511125
2018-07-02,0.40010834
2018-07-03,0.32232916
2018-07-04,0.4085375
2018-07-05,0.6757917
2018-07-06,0.46855
2018-07-07,0.6748792
2018-07-08,0.645225
2018-07-09,0.63666666
2018-07-10,0.68384165
2018-07-11,0.63460416
2018-07-12,0.62689584
2018-07-13,0.645725
2018-07-14,0.6277583
2018-07-15,0.65723747
2018-07-16,0.6968375
2018-07-17,0.48172083
2018-07-18,0.4176375
2018-07-19,0.502075
2018-07-20,0.44563332
2018-07-21,0.35242918
2018-07-22,0.26078334
2018-07-23,0.08287083
2018-07-24,-0.0405875
2018-07-25,0.1302125
2018-07-26,0.346925
2018-07-27,0.40677917
2018-07-28,0.5006875
2018-07-29,0.54704165
2018-07-30,0.5312833
2018-07-31,0.4891625
2018-08-01,0.528125
2018-08-02,0.7140125
2018-08-03,0.9458625
2018-08-04,0.94079584
2018-08-05,1.1499791
2018-08-06,1.1713876
2018-08-07,1.0603209
2018-08-08,1.0384
2018-08-09,0.9814417
2018-08-10,0.8619583
2018-08-11,0.9833
2018-08-12,1.0352958
2018-08-13,0.949
2018-08-14,0.8942083
2018-08-15,0.85160834
2018-08-16,0.9059333
2018-08-17,0.7973958
2018-08-18,0.71535
2018-08-19,0.7921375
2018-08-20,0.81295836
2018-08-21,0.62694585
2018-08-22,0.44663334
2018-08-23,0.4382875
2018-08-24,0.82060415
2018-08-25,1.2176791
2018-08-26,1.1918666
2018-08-27,1.3544625
2018-08-28,1.3296125
2018-08-29,1.2861042
2018-08-30,1.1742291
2018-08-31,1.1966292
2018-09-01,1.290575
2018-09-02,1.3281626
2018-09-03,1.5128375
2018-09-04,1.5442709
2018-09-05,1.5533167
2018-09-06,1.5416625
2018-09-07,1.4283458
2018-09-08,1.3729959
2018-09-09,1.2763709
2018-09-10,1.3355708
2018-09-11,1.4001875
2018-09-12,1.6092917
2018-09-13,1.8635833
2018-09-14,2.103025
2018-09-15,2.1584582
2018-09-16,1.3740958
2018-09-17,1.0639833
2018-09-18,0.90311664
2018-09-19,0.99076253
2018-09-20,1.2088584
2018-09-21,1.3364125
2018-09-22,1.1789708
2018-09-23,0.89374584
2018-09-24,1.1716375
2018-09-25,1.3295208
2018-09-26,1.19945
2018-09-27,1.3184583
2018-09-28,1.3461083
2018-09-29,1.3876958
2018-09-30,1.4946417
2018-10-01,1.6312916
2018-10-02,1.4825375
2018-10-03,1.4788375
2018-10-04,1.433875
2018-10-05,1.4504083
2018-10-06,1.8118666
2018-10-07,1.9640666
2018-10-08,2.3946874
2018-10-09,2.741254
2018-10-10,2.4878333
2018-10-11,2.353525
2018-10-12,2.615025
2018-10-13,2.7328207
2018-10-14,2.236504
2018-10-15,1.7295542
2018-10-16,0.8718333
2018-10-17,0.955725
2018-10-18,1.2352792
2018-10-19,1.8557
2018-10-20,1.6880916
2018-10-21,1.3211042
2018-10-22,1.7884667
2018-10-23,1.4864458
2018-10-24,1.9115125
2018-10-25,1.8522542
2018-10-26,1.2888792
2018-10-27,1.1540917
2018-10-28,1.0398166
2018-10-29,0.85510415
2018-10-30,0.87065
2018-10-31,1.2843333
2018-11-01,0.877875
2018-11-02,0.5967583
2018-11-03,0.7928625
2018-11-04,1.1229125
2018-11-05,1.3283917
2018-11-06,1.1933708
2018-11-07,1.1375542
2018-11-08,1.0929
2018-11-09,0.92642915
2018-11-10,0.88998336
2018-11-11,1.4161625
2018-11-12,1.446775
2018-11-13,-0.72549164
2018-11-14,-0.54829586
2018-11-15,0.09477917
2018-11-16,0.3912375
2018-11-17,0.61712086
2018-11-18,0.7665375
2018-11-19,0.41900417
2018-11-20,0.53318334
2018-11-21,0.85839164
2018-11-22,1.0366708
2018-11-23,1.1546333
2018-11-24,1.0701584
2018-11-25,1.10055
2018-11-26,0.21902083
2018-11-27,0.33232084
2018-11-28,0.6720458
2018-11-29,0.73936665
2018-11-30,0.7976792
2018-12-01,1.0016375
2018-12-02,0.9280583
2018-12-03,0.8780792
2018-12-04,0.87628335
2018-12-05,0.90599585
2018-12-06,1.1207125
2018-12-07,1.1514708
2018-12-08,0.79605
2018-12-09,-0.2048125
2018-12-10,-0.024345834
2018-12-11,0.34947082
2018-12-12,0.71685
2018-12-13,0.8911875
2018-12-14,-0.60732085
2018-12-15,-1.0991458
2018-12-16,-0.098820835
2018-12-17,0.5299708
2018-12-18,0.5912875
2018-12-19,0.92255414
2018-12-20,0.49691668
2018-12-21,-0.9133625
2018-12-22,-0.33599582
2018-12-23,0.1351375
2018-12-24,0.061466668
